"","age","sex","2010.x","2011.x","2012.x","2013.x","2014.x","2015.x","2016.x","2017.x","2018.x","Treatment","Setting","ValueType","2010.y","2011.y","2012.y","2013.y","2014.y","2015.y","2016.y","2017.y","2018.y","2010","2011","2012","2013","2014","2015","2016","2017","2018","value","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028"
"1",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"AE","AE","Activities",122.593339568424,230.319757503396,377.03099260193,465.038184523253,583.481238133116,691.457006470708,829.969375711988,940.620511519604,1100.75373932698,122.593339568424,230.319757503396,377.03099260193,465.038184523253,583.481238133116,691.457006470708,829.969375711988,940.620511519604,393546637.060752,0.248796238716807,491459560.121116,613732850.160666,766427274.857586,957111498.092125,1195237238.85005,1492607768.25021,1863962966.87035,2327709942.13511,2906835420.56205,3630045139.76667
"2",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"AE","AE","Cost",12550.487221792,24867.7405303337,35737.9806440875,49827.5213061935,60787.3244949303,74659.9830180751,81123.5044487584,92749.4176767856,104958.766217808,12550.487221792,24867.7405303337,35737.9806440875,49827.5213061935,60787.3244949303,74659.9830180751,81123.5044487584,92749.4176767856,38772430262.6401,0.247732976320396,48377639810.7789,60362376508.4592,75316127698.6721,93974416178.3911,117254977996.236,146302902683.625,182546956209.753,227769856989.824,284195961577.984,354600672997.935
"3",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"Elective","APC","Activities",328.843492119111,713.091605811168,987.099629229897,1313.06909025785,1642.59026751315,2013.69677343007,2393.34053299661,2767.70173858017,3107.26327586895,328.843492119111,713.091605811168,987.099629229897,1313.06909025785,1642.59026751315,2013.69677343007,2393.34053299661,2767.70173858017,1160991138.15703,0.252043562251244,1453611480.36026,1819984895.99956,2278700372.43075,2853032131.60144,3572120513.26752,4472450492.22221,5599702846.27422,7011071899.19761,8778167435.87097,10990648026.4457
"4",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"Elective","APC","Cost",33961.2033474315,68520.429383102,103648.904227235,129615.05041396,167872.164678204,213301.78147963,243701.872442796,262495.806245644,306384.952939664,33961.2033474315,68520.429383102,103648.904227235,129615.05041396,167872.164678204,213301.78147963,243701.872442796,262495.806245644,110078973775.03,0.251675709191507,137783177566.934,172459856495.752,215863813186.386,270191491458.852,338192126689.27,423306870016.776,529842926733.884,663191521079.738,830100717477.275,1039016904248.75
"5",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"First","OPA","Activities",3159.77253772639,6482.47630319271,9485.03545676497,13774.8748338341,16201.2409445971,20832.5723420666,22915.7358115054,27115.6253612723,29240.6994142611,3159.77253772639,6482.47630319271,9485.03545676497,13774.8748338341,16201.2409445971,20832.5723420666,22915.7358115054,27115.6253612723,11377284716.7623,0.252358947124433,14248444309.0193,17844166713.0045,22347301837.0112,27986843399.6712,35049573733.3487,43894647257.8567,54971854224.2478,68844493477.7567,86218017367.1183,107975905453.04
"6",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"First","OPA","Cost",327220.139452141,658134.493698717,1000047.02439929,1290573.77624577,1638101.82163737,2069960.17814233,2330366.54760037,2600650.79871922,3061006.07590489,327220.139452141,658134.493698717,1000047.02439929,1290573.77624577,1638101.82163737,2069960.17814233,2330366.54760037,2600650.79871922,1090120160742.13,0.251129174908611,1363881137260.54,1706391481934.19,2134916166863.41,2671055902346.87,3341835967238.02,4181068476370.42,5231056753077.73,6544727719378.25,8188299791547.23,10244620762102.8
"7",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"FollowUp","OPA","Activities",4381.57907488807,9034.22614616456,13554.3043376839,17659.8879170043,22967.6872072842,26378.9152041777,29278.3542095537,34896.2373559641,38874.8801726634,4381.57907488807,9034.22614616456,13554.3043376839,17659.8879170043,22967.6872072842,26378.9152041777,29278.3542095537,34896.2373559641,14595568562.9809,0.248395620495865,18221043872.6725,22747071371.5074,28397344279.2967,35451120231.9873,44257023239.2853,55250273988.1075,68974200077.95,86107089304.5182,107495713181.407,134197177557.748
"8",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"FollowUp","OPA","Cost",417291.097566011,832699.638047793,1337393.44279278,1696399.13826644,2220166.26057769,2531332.41485681,3021789.77382395,3648373.78527983,3826939.067243,417291.097566011,832699.638047793,1337393.44279278,1696399.13826644,2220166.26057769,2531332.41485681,3021789.77382395,3648373.78527983,1532342385610.03,0.253621146604672,1920976818439.38,2408177161732.97,3018941814718.87,3784609299300.66,4744466249240,5947763219399.41,7456241746836.58,9347302328030.9,11717975862126.6,14689902336165
"9",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"MHLD","APC","Activities",0.955452266498469,1.04887164577376,0.993343183281831,0.997781856451184,1.01397996477317,0.973263719631359,0.98562750602141,1.0186374173034,0.971588601660915,0.955452266498469,1.04887164577376,0.993343183281831,0.997781856451184,1.01397996477317,0.973263719631359,0.98562750602141,1.0186374173034,361965.076618225,0.060612807031627,383904.795959474,407174.343275482,431854.323172668,458030.225928907,485792.723627788,515237.984242407,546468.004756657,579590.96447793,614721.599765106,651981.601469841
"10",0,1,344191,347892,356779,347291,340320,340229,343198,335035,327309,"MHLD","APC","Cost",97.6404331321828,98.3800574904308,99.7898836899549,100.043944725767,99.7694260720164,104.25843652105,95.1738107809797,104.934490458108,104.384401133284,97.6404331321828,98.3800574904308,99.7898836899549,100.043944725767,99.7694260720164,104.25843652105,95.1738107809797,104.934490458108,37482319.1951728,0.0661492801601544,39961747.6286666,42605188.4682446,45423491.0165067,48428222.2496099,51631714.2908576,55047115.0246326,58688442.0584052,62570640.2542897,66709643.0662709,71122437.9348456
